length,grid size,Axes
3,9,4
5,25,8
7,49,16
9,81,32
11,121,64
13,169,128
15,225,256
17,289,512
19,361,1024
21,441,2048
23,529,4096
25,625,8192
27,729,16384
29,841,32768
31,961,65536
33,1089,131072
35,1225,262144
37,1369,524288
39,1521,1048576
41,1681,2097152
43,1849,4194304
45,2025,8388608
47,2209,16777216
49,2401,33554432
51,2601,67108864
53,2809,134217728
55,3025,268435456
57,3249,536870912
59,3481,1073741824
61,3721,2147483648
63,3969,4294967296
65,4225,8589934592
67,4489,17179869184
69,4761,34359738368
71,5041,68719476736
73,5329,1.37439E+11
75,5625,2.74878E+11
77,5929,5.49756E+11
79,6241,1.09951E+12
81,6561,2.19902E+12
83,6889,4.39805E+12
85,7225,8.79609E+12
87,7569,1.75922E+13
89,7921,3.51844E+13
91,8281,7.03687E+13
93,8649,1.40737E+14
95,9025,2.81475E+14
97,9409,5.6295E+14
99,9801,1.1259E+15
101,10201,2.2518E+15
103,10609,4.5036E+15
105,11025,9.0072E+15
107,11449,1.80144E+16
109,11881,3.60288E+16
111,12321,7.20576E+16
113,12769,1.44115E+17
115,13225,2.8823E+17
117,13689,5.76461E+17
119,14161,1.15292E+18
121,14641,2.30584E+18
123,15129,4.61169E+18
125,15625,9.22337E+18
127,16129,1.84467E+19
129,16641,3.68935E+19
131,17161,7.3787E+19
133,17689,1.47574E+20
135,18225,2.95148E+20
137,18769,
139,19321,
141,19881,
143,20449,
145,21025,
147,21609,
,,
